WWW,ATRBreakoutLong,long,24.63,21.35,25.08
BLDP,ATRBreakoutShort,short,3.81,4.63,3.65
EVAX,ATRBreakoutShort,short,5.77,7.51,6.95
KULR,ATRBreakoutShort,short,5.98,7.2,5.45
NB,ATRBreakoutShort,short,8.97,11.17,8.56
PLUG,ATRBreakoutShort,short,4.5,5.57,4.13
RR,ATRBreakoutShort,short,6.75,8.82,6.58
CAPR,Second_Day_Short,short,7.59,7.93,7.81
CLS,Second_Day_Short,short,240.45,249.0,235.34
CRSP,Second_Day_Short,short,70.83,73.95,70.19
DELL,Second_Day_Short,short,145.52,149.2,145.76
SKYT,Second_Day_Short,short,19.15,20.27,17.9
